date,session_key,air_temperature,track_temperature,rainfall,wind_speed,meeting_key,wind_direction,humidity,pressure
2024-05-19T12:08:39.188000+00:00,9515,24.2,43.4,0,1.8,1235,138,51.0,1007.2
2024-05-19T12:09:39.181000+00:00,9515,24.0,43.1,0,1.2,1235,112,52.0,1007.2
2024-05-19T12:10:39.215000+00:00,9515,24.0,43.3,0,1.7,1235,117,53.0,1007.2
2024-05-19T12:11:39.213000+00:00,9515,24.0,43.3,0,2.3,1235,134,53.0,1007.2
2024-05-19T12:12:39.218000+00:00,9515,24.2,42.9,0,1.6,1235,122,53.0,1007.3
2024-05-19T12:13:39.190000+00:00,9515,24.4,42.6,0,1.4,1235,133,53.0,1007.2
2024-05-19T12:14:39.219000+00:00,9515,24.4,42.4,0,2.0,1235,125,54.0,1007.2
2024-05-19T12:15:39.226000+00:00,9515,24.3,41.8,0,2.1,1235,116,55.0,1007.1
2024-05-19T12:16:39.230000+00:00,9515,24.2,41.4,0,1.6,1235,109,55.0,1007.2
2024-05-19T12:17:39.237000+00:00,9515,24.1,41.4,0,1.7,1235,102,55.0,1007.2
2024-05-19T12:18:39.236000+00:00,9515,24.2,41.1,0,1.1,1235,144,55.0,1007.2
2024-05-19T12:19:39.242000+00:00,9515,24.3,41.1,0,2.0,1235,122,54.0,1007.2
2024-05-19T12:20:39.239000+00:00,9515,24.2,41.3,0,2.8,1235,138,54.0,1007.1
2024-05-19T12:21:39.256000+00:00,9515,24.2,40.8,0,2.8,1235,161,54.0,1007.2
2024-05-19T12:22:39.275000+00:00,9515,24.3,40.8,0,1.2,1235,130,55.0,1007.2
2024-05-19T12:23:39.277000+00:00,9515,24.3,40.9,0,2.2,1235,134,54.0,1007.1
2024-05-19T12:24:39.289000+00:00,9515,24.3,40.9,0,1.2,1235,175,54.0,1007.1
2024-05-19T12:25:39.298000+00:00,9515,24.4,41.2,0,1.0,1235,179,55.0,1007.2
2024-05-19T12:26:39.285000+00:00,9515,24.3,42.0,0,1.1,1235,134,54.0,1007.1
